 I     ii     iii   IV      V      vi     vii

 C#    D#     F     F#      G#     A#     B

 F#    G#     A#     B      C#     D#     E

 B     C#     D#     E      F#     G#     A#

 E     F#     G#     A      B      C#     D#

 A     B      C#     D      E      F#     G#

 D     E      F#     G      A      B      C#

 G     A      B      C      D      E      F#

 C     D      E      F      G      A      B

 F     G      A      Bb     C      D      E

 Bb    C      D      Eb     F      G      A

 Eb    F      G      Ab     Bb     C      D

 Ab    Bb     C      Db     Eb     F      G

 Db    Eb     F      Gb     Ab     Bb     Cb

 Gb    Ab     Bb     Cb     Db     Eb     Fb

 Cb    Db     Eb     Fb     Gb     Ab     Bb
